グラス|[名]玻璃杯
かぶき（歌舞伎）|[名]歌舞伎
きもち（気持ち）|[名]心情
たくさん|[名]很多
からい（辛い）|[形1]辣
あまい（甘い）|[形1]甜
しおからい（塩辛い）∕しょっぱい|[形1]咸
すっぱい（酸っぱい）|[形1]酸
にがい（苦い）|[形1]苦
おいしい|[形1]好吃，可口
まずい|[形1]不好吃，难吃
あつい|[形1]热，烫
つめたい（冷たい）|[形1]凉
たのしい（楽しい）|[形1]愉快，快乐
おもしろい|[形1]有趣，有意思
つまらない|[形1]无聊
ひろい（広い）|[形1]广阔，宽敞
せまい（狭い）|[形1]狭窄
おおきい（大きい）|[形1]大
ちいさい（小さい）|[形1]小
いそがしい（忙しい）|[形1]忙，忙碌
いい|[形1]好
わるい（悪い）|[形1]不好，坏
すばらしい|[形1]极好，绝佳
とおい（遠い）|[形1]远
ちかい（近い）|[形1]近
たかい（高い）|[形1]高，贵
ひくい（低い）|[形1]低
やすい（安い）|[形1]便宜
さむい（寒い）|[形1]寒冷
あつい（暑い）|[形1]（天气）热
あおい（青い）|[形1]蓝色的
しろい（白い）|[形1]白色的
あたらしい（新しい）|[形1]新
ふるい（古い）|[形1]旧
むずかしい（難しい）|[形1]难
やさしい（易しい）|[形1]容易
おおい（多い）|[形1]多
すくない（少ない）|[形1]少
かわいい|[形1]可爱
ほんとうに（本当に）|[副]真的，实在是
あまり|[副]不（太）～，不很～
とても∕たいへん|[副]很，非常
すこし（少し）∕ちょっと|[副]一点儿
ぜんぜん（全然）|[副]根本（不），全然（不）
ちょうど|[副]正好，恰好
あら∕あれ|[叹]哎呀，咦
ああ|[叹]啊
てんあんもん（天安門）|[专]天安门
ばんりのちょうじょう（万里の長城）|[专]万里长城

きもちがいい（気持ちがいい）|感觉舒服，心情愉快
～用よう

[第10课]
もみじ（紅葉）|[名]红叶
こきょう（故郷）|[名]故乡
とおり（通り）|[名]大街
まち（町）|[名]城市，街道
ところ（所）|[名]场所
おみせ（お店）|[名]餐馆；商店
にんぎょう（人形）|[名]玩偶
さくひん（作品）|[名]作品
ちょうこく（彫刻）|[名]雕刻
じどうしゃ（自動車）|[名]汽车
どうぐ（道具）|[名]工具
さかな（魚）|[名]鱼
おかし（お菓子）|[名]点心
もの（物）|[名]物品，东西
シーズン|[名]季节
しゅうがくりょこう（修学旅行）|[名]修学旅行
かんこうきゃく（観光客）|[名]游客
さっか（作家）|[名]作家
ぶちょう（部長）|[名]部长
へいじつ（平日）|[名]平日，非休息日
ひ（日）|[名]日子
せいかつ（生活）|[名]生活
せかい（世界）|[名]世界
はれ（晴れ）|[名]晴天
あめ（雨）|[名]雨，下雨
くもり（曇り）|[名]阴天
ゆき（雪）|[名]雪
きたない（汚い）|[形1]脏
