まにあいます（間に合います）|[动1]来得及，赶得上
なきます（鳴きます）|[动1]叫，鸣，啼
ねむります（眠ります）|[动1]睡觉
なります（鳴ります）|[动1]鸣响，响起
よろこびます（喜びます）|[动1]喜悦，高兴
やくだちます（役立ちます）|[动1]有用，有益
やといます（雇います）|[动1]雇佣
なきます（泣きます）|[动1]哭，哭泣
ふります（振ります）|[动1]挥动，摆动
みえます（見えます）|[动2]看到，看得见
きこえます（聞こえます）|[动2]听到，听得见
つうじます（通じます）|[动2]通过，相通
あげます（揚げます）|[动2]放（风筝）；扬起
なれます（慣れます）|[动2]习惯
ぬれます|[动2]淋湿，打湿
やけます（焼けます）|[动2]着火，燃烧
さげます（下げます）|[动2]降低，下降
しっぱいします（失敗～）|[动3]出岔子，失败
くろうします（苦労～）|[动3]辛苦，辛劳
びっくりします|[动3]吃惊，吓一跳
しゅっせきします（出席～）|[动3]出席
かなしい（悲しい）|[形1]悲伤，悲哀
ほんと|[形2]真的
とにかく|[副]特别是，总之
まだまだ|[副]还，尚，仍
ぺらぺら|[副]流利地
ワンワン|[副]（狗）汪汪（叫）
ザーザー|[副]（雨）哗啦哗啦
すやすや|[副]香甜地，安静地
くねくね|[副]弯曲，弯弯曲曲
メキシコ|[专]墨西哥

～斤
[第37课]
ようじ（用事）|[名]事情
たいかい（大会）|[名]大会
きぼ（規模）|[名]规模
けいかく（計画）|[名]计划
きそく（規則）|[名]规则
ひよう（費用）|[名]费用
しお（塩）|[名]盐，食盐
メダル|[名]纪念章，奖牌
ソフト|[名]软件
かわ（川）|[名]河，河流
てつどう（鉄道）|[名]火车，铁路，铁道
ぜんちょう（全長）|[名]全长
ばんごう（番号）|[名]号码，番号
たんい（単位）|[名]计量单位
こさじ（小さじ）|[名]小匙，小勺
ボリューム|[名]音量
ちょくつうれっしゃ（直通列車）|[名]直达列车
せかいいさん（世界遺産）|[名]世界遗产
かんこうスポット（観光～）|[名]旅游点
こえます（超えます）|[动2]超过
しゅつじょうします（出場～）|[动3]参加，出场
つまみぐいします（つまみ食い～）|[动3]偷吃
かんさんします（換算～）|[动3]换算
ふくしゅうします（復習～）|[动3]复习
せいこうします（成功～）|[动3]成功
よわい（弱い）|[形1]弱，脆弱，柔弱
きびしい（厳しい）|[形1]严厉，严格
ぜいたく|[形2]奢望，奢侈，过分
こっそり|[副]偷偷地，悄悄地
さすが|[副]不愧是，果然
じっさいに（実際に）|[副]实地，实际上
とうだい（東大）|[专]东大，东京大学
はったつれい（八達嶺）|[专]八达岭
ペキンきたえき（北京北駅）|[专]北京北站

～ちょっと／～以上／～里／～万里
[第38课]
しょうひん（商品）|[名]商品
ごみばこ（ごみ箱）|[名]垃圾箱
コップ|[名]杯子，杯
ペットボトル|[名]塑料瓶
エンジン|[名]发动机，引擎
タイヤ|[名]轮胎
フートン（胡同）|[名]胡同
ろじ（路地）|[名]小巷，弄堂
ヨウテイアオ（油条）|[名]油条
にほんしょく（日本食）|[名]日本食品
さしみ（刺身）|[名]生鲜鱼，贝片
たな（棚）|[名]橱柜，搁板
たたみ（畳）|[名]草席，草垫
きもの（着物）|[名]和服，衣服
ぐあい（具合）|[名]情况
ひらがな（平仮名）|[名]平假名
あかちゃん（赤ちゃん）|[名]婴儿，幼儿
はんぶん（半分）|[名]一半
さいしゅう（最終）|[名]最终
しあい（試合）|[名]比赛，竞赛
えいじしんぶん（英字新聞）|[名]英文报纸
えいせいほうそう（衛星放送）|[名]卫星广播
ストレス|[名]精神紧张状态
でんとうてき（伝統的）|[名]传统的
いりくみます（入り組みます）|[动1]错综复杂
へります（減ります）|[动1]减少
うごかします（動かします）|[动1]开动，移动，摇动
かちます（勝ちます）|[动1]取胜，获胜
とおりぬけます（通り抜けます）|[动2]走得出去，穿过，通过
かんじます（感じます）|[动2]感觉，觉得
とりかえます（取り替えます）|[动2]更换，交换
てつやします（徹夜～）|[动3]熬通宵，彻夜
やけどします（火傷～）|[动3]烫伤，烧伤
なんだか|[副]总觉得，总有点
うえのどうぶつえん（上野動物園）|[专]上野动物园

このへん（この辺）|这一带，这附近，这儿
いそいで（急いで）|急急忙忙地，匆忙地
[第39课]
むら（村）|[名]村子，村庄
いね（稲）|[名]稻子
きり（霧）|[名]雾
もん（門）|[名]城门，门，大门
ぶたい（舞台）|[名]舞台
やね（屋根）|[名]屋顶，房顶
るりがわら（瑠璃瓦）|[名]琉璃瓦
きいろ（黄色）|[名]黄色，黄颜色
そら（空）|[名]天空
バック|[名]背景
かしきり（貸し切り）|[名]包租
いっぱん（一般）|[名]一般
そぼ（祖母）|[名]祖母，外婆
おんがくかい（音楽会）|[名]音乐会
ジャズ|[名]爵士乐
やがいコンサート（野外～）|[名]露天音乐会
えんだか（円高）|[名]日元升值
ゆしゅつ（輸出）|[名]出口，输出
えいきょう（影響）|[名]影响
しげん（資源）|[名]资源
きおん（気温）|[名]气温
おき（沖）|[名]海上，湖心
かいがい（海外）|[名]海外
クジラ|[名]鲸
サメ|[名]鲨鱼
ユーフォー（UFO）|[名]不明飞行物
むかし（昔）|[名]以前
べつめい（別名）|[名]别名
ほう（方）|[名]方，方面
どうろこうじ（道路工事）|[名]道路施工
つうきんラッシュ（通勤～）|[名]上下班高峰
つうこうきんし（通行禁止）|[名]禁止通行
とおく（遠く）|[名]远处，远方
みわたします（見渡します）|[动1]眺望，远眺
つづきます（続きます）|[动1]继续，持续
なくなります|[动1]完，丢失
そだちます（育ちます）|[动1]生长，成长
ふえます（増えます）|[动2]增加，增多
つれます（連れます）|[动2]带，领
けっせきします（欠席～）|[动3]缺席
ゆにゅうします（輸入～）|[动3]进口，输入
せっかく|[副]好（不）容易，特意
ぜったい（絶対）|[副]绝对，一定
そうそう|[叹]是的是的
しきんじょう（紫禁城）|[专]紫禁城

～リットル
[第40课]
モノレール|[名]单轨铁路，单轨电车
オイル|[名]油，润滑油
ダンス|[名]跳舞，舞
じだい（時代）|[名]时代
やくしゃ（役者）|[名]演员
むすめ（娘）|[名]女儿
こいぬ（子犬）|[名]小狗
げきじょう（劇場）|[名]剧场，剧院
ししゃかい（試写会）|[名]试映会，预映会
みみ（耳）|[名]耳朵
おく（奥）|[名]里头，内部；深处
きげん（機嫌）|[名]情绪，心情
せんじつ（先日）|[名]前几天，前些天
コピーき（～機）|[名]复印机
けん（券）|[名]券，票
さいしゅうびん（最終便）|[名]最晚航班
にゅじょうけん（入場券）|[名]入场卷，门票
しょうたいけん（招待券）|[名]招待券，请帖
かいすうけん（回数券）|[名]回数券
むかいます（向かいます）|[动1]往～去
そろえます|[动2]备齐，凑齐；使一致
もれます（漏れます）|[动2]漏，泄漏
まとめます|[动2]汇集；总结，整理
かいつうします（開通～）|[动3]开通
かいちくします（改築～）|[动3]改建
かんせいします（完成～）|[动3]完成
にゅうしゃします（入社～）|[动3]入社
しん（清）|[专]清，清代

おまたせしました（お待たせしました）|让您久等了
[第41课]
ことり（小鳥）|[名]小鸟，鸟儿
ばんぱく（万博）|[名]世博会，万国博览会
いせき（遺跡）|[名]遗址，遗迹
じょうし（上司）|[名]上司
すり|[名]扒手，小偷
せだい（世代）|[名]世代；一代
しじょう（市場）|[名]市场
ちょうさ（調査）|[名]调查
しゅっか（出荷）|[名]上市，运出货物
せいちょう（成長）|[名]成长
あらし（嵐）|[名]暴风雨，风暴
ダイナマイト|[名]炸药
ネーミング|[名]名称，命名，取名
コストグウン|[名]降低成本
ていかかく（低価格）|[名]低价（格）
ぎゅうにく（牛肉）|[名]牛肉
いっさくねん（一昨年）／おととし|[名]前年
さくねん（昨年）|[名]去年
こんご（今後）|[名]今后
すべて|[名]全部，所有
びしょぬれ|[名]落汤鸡，湿透，濡湿
みりょく（魅力）|[名]吸引力，魅力
おしょくじけん（汚職事件）|[名]贪污事件
